Gmt time,Open,High,Low,Close,Volume
09.06.2020 08:00:00.000,1.34430,1.34849,1.34366,1.34746,9163269.5313
09.06.2020 09:00:00.000,1.34745,1.34877,1.34696,1.34776,5595930.1758
09.06.2020 10:00:00.000,1.34775,1.34823,1.34516,1.34551,6034419.9219
09.06.2020 11:00:00.000,1.34551,1.34637,1.34333,1.34397,5536310.0586
09.06.2020 12:00:00.000,1.34397,1.34680,1.34380,1.34588,7808459.9609
09.06.2020 13:00:00.000,1.34587,1.34601,1.34135,1.34345,10156660.1563
09.06.2020 14:00:00.000,1.34344,1.34471,1.34196,1.34249,11410360.3516
09.06.2020 15:00:00.000,1.34249,1.34381,1.34167,1.34330,8130640.1367
09.06.2020 16:00:00.000,1.34330,1.34375,1.34156,1.34168,5089189.9414
09.06.2020 17:00:00.000,1.34169,1.34200,1.33855,1.33918,5383589.8438
09.06.2020 18:00:00.000,1.33918,1.33989,1.33876,1.33936,4722669.9219
09.06.2020 19:00:00.000,1.33938,1.34120,1.33938,1.34015,4501669.9219
09.06.2020 20:00:00.000,1.34015,1.34172,1.33978,1.34150,3918870.1172
09.06.2020 21:00:00.000,1.34150,1.34215,1.34140,1.34164,988359.9854
09.06.2020 22:00:00.000,1.34165,1.34220,1.34156,1.34189,1415930.0537
09.06.2020 23:00:00.000,1.34189,1.34238,1.34152,1.34229,2379070.0684
10.06.2020 00:00:00.000,1.34230,1.34276,1.34124,1.34168,4264899.9023
10.06.2020 01:00:00.000,1.34165,1.34210,1.34018,1.34087,5921660.1563
10.06.2020 02:00:00.000,1.34087,1.34087,1.33953,1.33968,5061549.8047
10.06.2020 03:00:00.000,1.33968,1.34009,1.33924,1.33953,3531489.9902
10.06.2020 04:00:00.000,1.33953,1.33993,1.33925,1.33949,2241909.9121
10.06.2020 05:00:00.000,1.33948,1.33963,1.33756,1.33800,5297629.8828
10.06.2020 06:00:00.000,1.33800,1.33926,1.33701,1.33876,5387729.9805
10.06.2020 07:00:00.000,1.33876,1.33996,1.33752,1.33918,6006319.8242
10.06.2020 08:00:00.000,1.33918,1.34000,1.33837,1.33914,4827180.1758
